age,attrition,business-travel,department,distance-from-home,education,education-field,employee-number,environment-satisfaction,gender,job-involvement,job-level,job-role,job-satisfaction,marial-status,monthly-income,number-of-companies-worked-at,over-time,last-salary-increase-percentage,performance-rating,relationship-satisfaction,stock-option-level,total-working-years,work-life-balance,years-at-company,years-in-current-role,years-since-last-promotion,years-with-current-manager
34.0,No,Travel_Rarely,Research & Development,19.0,2.0,Medical,18.0,2.0,Male,3.0,1.0,Laboratory Technician,4.0,Divorced,2661.0,0.0,No,11.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0
28.0,Yes,Travel_Rarely,Research & Development,24.0,3.0,Life Sciences,19.0,3.0,Male,2.0,1.0,Laboratory Technician,3.0,Single,2028.0,5.0,Yes,14.0,3.0,2.0,0.0,6.0,3.0,4.0,2.0,0.0,3.0
29.0,No,Travel_Rarely,Research & Development,21.0,4.0,Life Sciences,20.0,2.0,Female,4.0,3.0,Manufacturing Director,1.0,Divorced,9980.0,1.0,No,11.0,3.0,3.0,1.0,10.0,3.0,10.0,9.0,8.0,8.0
32.0,No,Travel_Rarely,Research & Development,5.0,2.0,Life Sciences,21.0,1.0,Male,4.0,1.0,Research Scientist,2.0,Divorced,3298.0,0.0,Yes,12.0,3.0,4.0,2.0,7.0,2.0,6.0,2.0,0.0,5.0
22.0,No,Non-Travel,Research & Development,16.0,2.0,Medical,22.0,4.0,Male,4.0,1.0,Laboratory Technician,4.0,Divorced,2935.0,1.0,Yes,13.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0
53.0,No,Travel_Rarely,Sales,2.0,4.0,Life Sciences,23.0,1.0,Female,2.0,4.0,Manager,4.0,Married,15427.0,2.0,No,16.0,3.0,3.0,0.0,31.0,3.0,25.0,8.0,3.0,7.0
38.0,No,Travel_Rarely,Research & Development,2.0,3.0,Life Sciences,24.0,4.0,Male,3.0,1.0,Research Scientist,4.0,Single,3944.0,5.0,Yes,11.0,3.0,3.0,0.0,6.0,3.0,3.0,2.0,1.0,2.0
24.0,No,Non-Travel,Research & Development,11.0,2.0,Other,26.0,1.0,Female,4.0,2.0,Manufacturing Director,3.0,Divorced,4011.0,0.0,No,18.0,3.0,4.0,1.0,5.0,2.0,4.0,2.0,1.0,3.0
36.0,Yes,Travel_Rarely,Sales,9.0,4.0,Life Sciences,27.0,3.0,Male,2.0,1.0,Sales Representative,1.0,Single,3407.0,7.0,No,23.0,4.0,2.0,0.0,10.0,3.0,5.0,3.0,0.0,3.0
34.0,No,Travel_Rarely,Research & Development,7.0,4.0,,28.0,1.0,Female,3.0,3.0,Research Director,2.0,Single,11994.0,0.0,No,11.0,3.0,3.0,0.0,13.0,3.0,12.0,6.0,2.0,11.0
21.0,No,Travel_Rarely,Research & Development,15.0,2.0,Life Sciences,30.0,3.0,Male,3.0,1.0,Research Scientist,4.0,Single,1232.0,1.0,No,14.0,3.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
34.0,Yes,Travel_Rarely,Research & Development,6.0,1.0,Medical,31.0,2.0,Male,3.0,1.0,Research Scientist,1.0,Single,2960.0,2.0,No,11.0,3.0,3.0,0.0,8.0,3.0,4.0,2.0,1.0,3.0
53.0,No,Travel_Rarely,Research & Development,5.0,3.0,Other,32.0,3.0,Female,3.0,5.0,Manager,3.0,Divorced,19094.0,4.0,No,11.0,3.0,4.0,1.0,26.0,2.0,14.0,13.0,4.0,8.0
32.0,Yes,Travel_Frequently,Research & Development,16.0,1.0,Life Sciences,33.0,2.0,Female,1.0,1.0,Research Scientist,1.0,Single,3919.0,1.0,Yes,22.0,4.0,2.0,0.0,10.0,3.0,10.0,2.0,6.0,7.0
42.0,No,Travel_Rarely,Sales,8.0,4.0,Marketing,35.0,3.0,Male,3.0,2.0,Sales Executive,2.0,Married,6825.0,0.0,No,11.0,3.0,4.0,1.0,10.0,,9.0,7.0,4.0,2.0
44.0,No,Travel_Rarely,Research & Development,7.0,4.0,Medical,36.0,1.0,Female,2.0,3.0,Healthcare Representative,4.0,Married,10248.0,3.0,No,14.0,3.0,4.0,1.0,24.0,3.0,22.0,6.0,5.0,17.0
46.0,No,Travel_Rarely,Sales,2.0,4.0,Marketing,38.0,2.0,Female,3.0,5.0,Manager,1.0,Single,18947.0,3.0,No,12.0,3.0,4.0,0.0,22.0,2.0,2.0,2.0,2.0,1.0
33.0,No,Travel_Rarely,Research & Development,2.0,3.0,Medical,39.0,3.0,Male,3.0,1.0,Laboratory Technician,4.0,Single,2496.0,4.0,No,11.0,3.0,4.0,0.0,7.0,3.0,1.0,1.0,0.0,0.0
44.0,No,Travel_Rarely,Research & Development,10.0,4.0,Other,40.0,4.0,Male,3.0,2.0,Healthcare Representative,4.0,Married,6465.0,2.0,Yes,13.0,3.0,4.0,0.0,9.0,4.0,4.0,2.0,1.0,3.0
30.0,No,Travel_Rarely,Research & Development,9.0,2.0,Medical,41.0,4.0,Male,2.0,1.0,Laboratory Technician,3.0,Single,2206.0,1.0,No,13.0,3.0,1.0,0.0,10.0,3.0,10.0,0.0,1.0,8.0
39.0,Yes,Travel_Rarely,Sales,5.0,3.0,Technical Degree,42.0,4.0,Male,3.0,2.0,Sales Representative,4.0,Married,2086.0,3.0,No,14.0,3.0,3.0,1.0,19.0,4.0,1.0,0.0,0.0,0.0
24.0,Yes,Travel_Rarely,Research & Development,1.0,3.0,Medical,45.0,2.0,Male,3.0,1.0,Research Scientist,4.0,Married,2293.0,2.0,Yes,16.0,3.0,1.0,1.0,6.0,2.0,2.0,0.0,2.0,0.0
43.0,No,Travel_Rarely,Research & Development,2.0,2.0,Medical,46.0,4.0,Female,4.0,1.0,Research Scientist,3.0,Divorced,2645.0,1.0,No,12.0,3.0,4.0,2.0,6.0,2.0,5.0,3.0,1.0,4.0
50.0,Yes,Travel_Rarely,Sales,3.0,2.0,Marketing,47.0,1.0,Male,2.0,1.0,Sales Representative,3.0,Married,2683.0,1.0,Yes,14.0,3.0,3.0,0.0,3.0,3.0,3.0,2.0,0.0,2.0
35.0,No,Travel_Rarely,Sales,2.0,3.0,Marketing,49.0,4.0,Female,3.0,1.0,Sales Representative,4.0,Married,2014.0,1.0,No,13.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0
36.0,No,Travel_Rarely,Research & Development,5.0,4.0,Life Sciences,51.0,2.0,Female,2.0,1.0,Research Scientist,1.0,Married,3419.0,9.0,Yes,14.0,3.0,4.0,1.0,6.0,4.0,1.0,1.0,0.0,0.0
33.0,No,Travel_Frequently,Sales,1.0,3.0,Life Sciences,52.0,3.0,Female,4.0,2.0,Sales Executive,1.0,Married,5376.0,2.0,No,19.0,3.0,1.0,2.0,10.0,3.0,5.0,3.0,1.0,3.0
35.0,No,Travel_Rarely,Research & Development,4.0,2.0,Other,53.0,3.0,Male,3.0,1.0,Laboratory Technician,4.0,Divorced,1951.0,1.0,No,12.0,3.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0
27.0,No,Travel_Rarely,Research & Development,2.0,,Life Sciences,54.0,4.0,Female,3.0,1.0,Laboratory Technician,1.0,Divorced,2341.0,1.0,No,13.0,3.0,4.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0
26.0,Yes,Travel_Rarely,Research & Development,25.0,3.0,Life Sciences,55.0,1.0,Male,1.0,1.0,Laboratory Technician,3.0,Single,2293.0,1.0,No,12.0,3.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0
27.0,No,Travel_Frequently,Sales,8.0,3.0,Life Sciences,56.0,4.0,Male,3.0,3.0,Sales Executive,3.0,,8726.0,1.0,No,15.0,3.0,4.0,0.0,9.0,3.0,9.0,8.0,1.0,7.0
30.0,No,Travel_Frequently,Research & Development,1.0,2.0,Medical,57.0,3.0,Female,3.0,2.0,Laboratory Technician,4.0,Single,4011.0,1.0,No,23.0,4.0,4.0,0.0,12.0,3.0,12.0,8.0,3.0,7.0
41.0,Yes,Travel_Rarely,Research & Development,12.0,3.0,Technical Degree,58.0,2.0,Female,3.0,5.0,Research Director,3.0,Married,19545.0,1.0,No,12.0,3.0,4.0,0.0,23.0,3.0,22.0,15.0,15.0,8.0
34.0,No,Non-Travel,Sales,23.0,4.0,Marketing,60.0,2.0,Male,3.0,2.0,Sales Executive,3.0,Single,4568.0,0.0,No,20.0,4.0,3.0,0.0,10.0,3.0,9.0,5.0,8.0,7.0
37.0,No,Travel_Rarely,Research & Development,19.0,2.0,Life Sciences,61.0,2.0,Male,3.0,1.0,Research Scientist,2.0,Married,3022.0,4.0,No,21.0,4.0,1.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0
46.0,No,Travel_Frequently,Sales,5.0,4.0,Marketing,62.0,1.0,Male,3.0,2.0,Sales Executive,4.0,Single,5772.0,4.0,Yes,21.0,4.0,3.0,0.0,14.0,3.0,9.0,6.0,0.0,8.0
35.0,No,Travel_Rarely,Research & Development,8.0,1.0,Life Sciences,63.0,4.0,Male,4.0,1.0,Laboratory Technician,4.0,Married,2269.0,1.0,No,19.0,3.0,4.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0
48.0,Yes,Travel_Rarely,Research & Development,1.0,2.0,Life Sciences,64.0,1.0,Male,2.0,3.0,Laboratory Technician,3.0,Single,5381.0,9.0,Yes,13.0,3.0,4.0,0.0,23.0,3.0,1.0,0.0,0.0,0.0
28.0,Yes,Travel_Rarely,Research & Development,5.0,4.0,Technical Degree,65.0,3.0,Male,3.0,1.0,Laboratory Technician,3.0,Single,3441.0,1.0,Yes,13.0,3.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
44.0,No,Travel_Rarely,Sales,1.0,5.0,Marketing,68.0,2.0,Female,3.0,2.0,Sales Executive,1.0,Divorced,5454.0,5.0,Yes,21.0,4.0,3.0,1.0,9.0,2.0,4.0,3.0,1.0,3.0
35.0,No,Non-Travel,Research & Development,11.0,2.0,Medical,70.0,3.0,Male,2.0,3.0,Healthcare Representative,1.0,Married,9884.0,2.0,Yes,13.0,3.0,3.0,1.0,10.0,3.0,4.0,0.0,2.0,3.0
26.0,No,Travel_Rarely,Sales,23.0,3.0,Marketing,72.0,3.0,Female,2.0,2.0,Sales Executive,4.0,Married,4157.0,7.0,Yes,19.0,3.0,3.0,1.0,5.0,2.0,2.0,2.0,0.0,0.0
33.0,No,Travel_Frequently,Research & Development,1.0,2.0,Life Sciences,73.0,1.0,Female,3.0,3.0,Research Director,4.0,Single,13458.0,1.0,Yes,12.0,3.0,3.0,0.0,15.0,3.0,15.0,14.0,8.0,12.0
35.0,No,Travel_Frequently,Sales,18.0,5.0,Life Sciences,74.0,2.0,Male,3.0,3.0,Sales Executive,1.0,Married,9069.0,1.0,No,22.0,,4.0,,9.0,2.0,9.0,8.0,1.0,8.0
35.0,No,Travel_Rarely,Research & Development,23.0,4.0,Medical,75.0,3.0,Female,3.0,1.0,Laboratory Technician,1.0,Married,4014.0,3.0,Yes,15.0,3.0,3.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0
31.0,No,Travel_Rarely,Research & Development,7.0,4.0,Life Sciences,76.0,4.0,Male,3.0,2.0,Laboratory Technician,4.0,Divorced,5915.0,3.0,No,22.0,4.0,4.0,1.0,10.0,2.0,7.0,7.0,1.0,7.0
37.0,No,Travel_Rarely,Research & Development,1.0,4.0,Life Sciences,77.0,1.0,Male,2.0,2.0,Manufacturing Director,3.0,Divorced,5993.0,1.0,No,18.0,3.0,3.0,1.0,7.0,4.0,7.0,5.0,0.0,7.0
32.0,No,Travel_Rarely,Research & Development,1.0,3.0,Medical,78.0,1.0,Male,3.0,2.0,Manufacturing Director,4.0,Married,6162.0,1.0,Yes,22.0,4.0,2.0,1.0,9.0,3.0,9.0,8.0,7.0,8.0
38.0,No,Travel_Frequently,Research & Development,29.0,5.0,Life Sciences,79.0,4.0,Female,3.0,2.0,Laboratory Technician,4.0,Single,2406.0,1.0,No,11.0,3.0,4.0,0.0,10.0,3.0,10.0,3.0,9.0,9.0
50.0,No,Travel_Rarely,Research & Development,7.0,2.0,Medical,80.0,2.0,Female,2.0,5.0,Research Director,3.0,Divorced,18740.0,5.0,Yes,12.0,3.0,4.0,1.0,29.0,2.0,27.0,3.0,13.0,8.0
59.0,No,Travel_Rarely,Sales,25.0,3.0,Life Sciences,81.0,1.0,,3.0,3.0,Sales Executive,1.0,Single,7637.0,7.0,No,11.0,3.0,4.0,0.0,28.0,2.0,21.0,16.0,7.0,9.0
36.0,No,Travel_Rarely,Research & Development,8.0,3.0,Technical Degree,83.0,3.0,Female,3.0,3.0,Healthcare Representative,3.0,Divorced,10096.0,1.0,No,13.0,3.0,2.0,3.0,17.0,3.0,17.0,14.0,12.0,8.0
55.0,No,Travel_Rarely,Research & Development,8.0,3.0,Medical,84.0,4.0,Female,3.0,4.0,Manager,3.0,Divorced,14756.0,2.0,Yes,14.0,3.0,3.0,3.0,21.0,3.0,5.0,0.0,0.0,2.0
36.0,No,Travel_Frequently,Research & Development,11.0,3.0,Life Sciences,85.0,2.0,Male,2.0,2.0,Manufacturing Director,2.0,Single,6499.0,1.0,No,13.0,3.0,3.0,0.0,6.0,3.0,6.0,5.0,0.0,3.0
45.0,No,Travel_Rarely,Research & Development,7.0,3.0,Life Sciences,86.0,2.0,Male,3.0,3.0,Research Scientist,1.0,Divorced,9724.0,2.0,No,17.0,3.0,3.0,1.0,25.0,3.0,1.0,0.0,0.0,0.0
35.0,No,Travel_Frequently,Research & Development,1.0,3.0,Medical,88.0,2.0,Male,3.0,1.0,Research Scientist,1.0,Married,2194.0,4.0,No,13.0,3.0,4.0,1.0,5.0,2.0,3.0,2.0,1.0,2.0
36.0,Yes,Travel_Rarely,Research & Development,9.0,3.0,Medical,90.0,4.0,Male,2.0,1.0,Research Scientist,3.0,Married,3388.0,0.0,Yes,17.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
59.0,No,Travel_Frequently,Sales,1.0,1.0,Life Sciences,91.0,1.0,Female,2.0,2.0,Sales Executive,3.0,Single,5473.0,7.0,No,11.0,3.0,4.0,0.0,20.0,2.0,4.0,3.0,1.0,3.0
29.0,No,Travel_Rarely,Research & Development,2.0,3.0,Life Sciences,94.0,3.0,Male,3.0,1.0,Research Scientist,2.0,Married,2703.0,0.0,No,23.0,4.0,4.0,1.0,6.0,3.0,5.0,4.0,0.0,4.0
31.0,No,Travel_Rarely,Research & Development,1.0,4.0,Medical,95.0,3.0,Male,3.0,1.0,Research Scientist,2.0,Single,2501.0,1.0,No,17.0,3.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0
32.0,No,Travel_Rarely,Research & Development,1.0,3.0,Life Sciences,96.0,2.0,Male,3.0,2.0,Research Scientist,2.0,Married,6220.0,1.0,No,17.0,3.0,2.0,2.0,10.0,3.0,10.0,4.0,0.0,9.0
36.0,No,Travel_Rarely,Research & Development,6.0,3.0,Life Sciences,97.0,2.0,Female,4.0,1.0,Laboratory Technician,4.0,Married,3038.0,3.0,No,12.0,3.0,2.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0
31.0,No,Travel_Rarely,Research & Development,8.0,4.0,Life Sciences,98.0,3.0,Female,3.0,2.0,Manufacturing Director,4.0,Single,4424.0,1.0,No,23.0,4.0,4.0,0.0,11.0,3.0,11.0,7.0,1.0,8.0
35.0,No,Travel_Rarely,Sales,1.0,4.0,Marketing,100.0,3.0,Male,2.0,2.0,Sales Executive,1.0,Single,4312.0,0.0,No,14.0,3.0,2.0,0.0,16.0,3.0,15.0,13.0,2.0,8.0
45.0,No,Travel_Rarely,Research & Development,6.0,4.0,Other,101.0,4.0,Male,3.0,3.0,Research Director,1.0,Married,13245.0,4.0,Yes,14.0,3.0,2.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0
37.0,No,Travel_Rarely,Research & Development,7.0,4.0,Medical,102.0,1.0,Male,3.0,3.0,Research Director,3.0,,13664.0,4.0,No,13.0,3.0,1.0,0.0,16.0,4.0,5.0,2.0,0.0,2.0
46.0,No,Travel_Rarely,Human Resources,5.0,2.0,Medical,103.0,2.0,Male,3.0,2.0,Human Resources,2.0,Divorced,5021.0,8.0,Yes,22.0,4.0,4.0,1.0,16.0,3.0,4.0,2.0,0.0,2.0
30.0,No,Travel_Rarely,Research & Development,1.0,1.0,Life Sciences,104.0,4.0,Male,2.0,2.0,Laboratory Technician,4.0,Married,5126.0,1.0,Yes,12.0,3.0,3.0,2.0,10.0,2.0,10.0,8.0,3.0,0.0
35.0,No,Travel_Rarely,Research & Development,1.0,3.0,Medical,105.0,2.0,Male,2.0,1.0,Research Scientist,3.0,Single,2859.0,1.0,No,18.0,3.0,1.0,0.0,6.0,3.0,6.0,4.0,0.0,4.0
55.0,No,Travel_Rarely,Sales,1.0,2.0,Life Sciences,106.0,1.0,Male,3.0,3.0,Sales Executive,4.0,Married,10239.0,3.0,No,14.0,3.0,4.0,1.0,24.0,3.0,1.0,0.0,1.0,0.0
38.0,No,Non-Travel,Research & Development,6.0,3.0,Medical,107.0,2.0,Female,1.0,2.0,Research Scientist,4.0,Divorced,5329.0,7.0,Yes,12.0,3.0,4.0,3.0,17.0,3.0,13.0,11.0,1.0,9.0
34.0,No,Travel_Rarely,Research & Development,1.0,2.0,Medical,110.0,1.0,Male,3.0,2.0,Manufacturing Director,2.0,Married,4325.0,1.0,No,15.0,3.0,3.0,0.0,5.0,3.0,5.0,2.0,1.0,3.0
56.0,No,Travel_Rarely,Research & Development,7.0,3.0,Life Sciences,112.0,4.0,Male,1.0,3.0,Manufacturing Director,4.0,Single,7260.0,4.0,No,11.0,3.0,1.0,0.0,37.0,2.0,6.0,4.0,0.0,2.0
23.0,No,Travel_Rarely,Sales,2.0,1.0,Technical Degree,113.0,3.0,Male,3.0,1.0,Sales Representative,1.0,Divorced,2322.0,3.0,No,13.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0
51.0,No,Travel_Rarely,Research & Development,9.0,4.0,Life Sciences,116.0,4.0,Male,3.0,1.0,Laboratory Technician,4.0,Married,2075.0,3.0,No,23.0,4.0,2.0,2.0,10.0,3.0,4.0,2.0,0.0,3.0
30.0,No,Travel_Rarely,Research & Development,2.0,3.0,Life Sciences,117.0,3.0,Male,2.0,2.0,Healthcare Representative,4.0,Married,4152.0,1.0,No,19.0,3.0,1.0,3.0,11.0,3.0,11.0,10.0,10.0,8.0
46.0,Yes,Travel_Rarely,Sales,9.0,2.0,Medical,118.0,3.0,Male,2.0,3.0,Sales Executive,4.0,,9619.0,1.0,No,16.0,3.0,4.0,0.0,9.0,3.0,9.0,8.0,4.0,7.0
40.0,No,Travel_Frequently,Research & Development,1.0,4.0,Life Sciences,119.0,3.0,Male,2.0,4.0,Healthcare Representative,2.0,Married,13503.0,1.0,No,22.0,4.0,4.0,1.0,22.0,2.0,22.0,3.0,11.0,11.0
51.0,No,Travel_Rarely,Sales,21.0,4.0,Marketing,120.0,3.0,Male,3.0,2.0,Sales Executive,4.0,Single,5441.0,0.0,Yes,22.0,4.0,4.0,0.0,11.0,1.0,10.0,7.0,1.0,0.0
30.0,No,Travel_Rarely,Sales,4.0,2.0,Medical,121.0,3.0,Female,2.0,2.0,Sales Executive,2.0,Divorced,5209.0,1.0,Yes,12.0,3.0,2.0,3.0,11.0,2.0,11.0,8.0,2.0,7.0
46.0,No,Travel_Frequently,Research & Development,1.0,3.0,Medical,124.0,3.0,Male,2.0,3.0,Healthcare Representative,1.0,Married,10673.0,2.0,Yes,,3.0,3.0,1.0,21.0,2.0,10.0,9.0,9.0,5.0
32.0,No,Travel_Rarely,Sales,6.0,4.0,Medical,125.0,2.0,Male,3.0,2.0,Sales Executive,3.0,Single,5010.0,1.0,No,16.0,3.0,1.0,0.0,12.0,3.0,11.0,8.0,5.0,7.0
54.0,No,Travel_Rarely,Research & Development,2.0,4.0,Technical Degree,126.0,1.0,Female,3.0,3.0,Research Director,3.0,Married,13549.0,9.0,No,12.0,3.0,1.0,1.0,16.0,1.0,4.0,3.0,0.0,3.0
24.0,No,Travel_Rarely,Sales,3.0,2.0,Other,128.0,1.0,Female,3.0,2.0,Sales Executive,3.0,Married,4999.0,0.0,No,21.0,4.0,1.0,1.0,4.0,2.0,3.0,2.0,0.0,2.0
28.0,No,Non-Travel,Sales,4.0,3.0,Medical,129.0,2.0,Male,3.0,2.0,Sales Executive,3.0,Married,4221.0,1.0,No,15.0,3.0,2.0,0.0,5.0,4.0,5.0,4.0,0.0,4.0
58.0,No,Travel_Rarely,Sales,10.0,4.0,Medical,131.0,4.0,Male,3.0,4.0,Sales Executive,3.0,Single,13872.0,0.0,No,13.0,3.0,3.0,0.0,38.0,2.0,37.0,10.0,1.0,8.0
44.0,No,Non-Travel,Research & Development,23.0,3.0,Medical,132.0,2.0,Male,3.0,2.0,Laboratory Technician,2.0,Married,2042.0,4.0,No,12.0,3.0,3.0,1.0,17.0,4.0,3.0,2.0,1.0,2.0
37.0,Yes,Travel_Rarely,Human Resources,6.0,4.0,Human Resources,133.0,3.0,Male,3.0,1.0,Human Resources,1.0,Divorced,2073.0,4.0,Yes,22.0,4.0,4.0,0.0,7.0,3.0,3.0,2.0,0.0,2.0
32.0,No,Travel_Rarely,Research & Development,1.0,1.0,Life Sciences,134.0,4.0,Male,3.0,1.0,Research Scientist,1.0,Single,2956.0,1.0,No,13.0,3.0,4.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
20.0,Yes,Travel_Frequently,Research & Development,6.0,3.0,Life Sciences,137.0,4.0,Female,2.0,1.0,Laboratory Technician,4.0,Single,2926.0,1.0,Yes,18.0,3.0,2.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0
34.0,No,Travel_Rarely,Research & Development,6.0,4.0,Other,138.0,1.0,Female,3.0,2.0,Research Scientist,3.0,Single,4809.0,1.0,No,14.0,3.0,3.0,0.0,16.0,3.0,16.0,13.0,2.0,10.0
37.0,No,Non-Travel,Research & Development,2.0,2.0,Life Sciences,139.0,3.0,Male,2.0,2.0,Healthcare Representative,4.0,Divorced,5163.0,5.0,No,14.0,3.0,4.0,1.0,17.0,4.0,1.0,0.0,0.0,0.0
59.0,No,Non-Travel,Human Resources,2.0,4.0,Human Resources,140.0,3.0,Female,2.0,5.0,Manager,4.0,Married,18844.0,9.0,No,21.0,4.0,4.0,1.0,30.0,3.0,3.0,2.0,2.0,2.0
50.0,No,Travel_Frequently,Research & Development,1.0,3.0,Life Sciences,141.0,1.0,Female,3.0,5.0,Research Director,2.0,Married,18172.0,3.0,Yes,19.0,3.0,1.0,0.0,28.0,2.0,8.0,3.0,0.0,7.0
25.0,Yes,Travel_Rarely,Sales,5.0,3.0,Marketing,142.0,3.0,Male,2.0,2.0,Sales Executive,3.0,Single,5744.0,1.0,Yes,11.0,3.0,4.0,0.0,6.0,3.0,6.0,4.0,0.0,3.0
25.0,No,Travel_Rarely,Research & Development,7.0,1.0,Medical,143.0,4.0,Male,2.0,1.0,Research Scientist,4.0,Married,2889.0,1.0,No,11.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0
22.0,No,Travel_Rarely,Research & Development,15.0,3.0,Medical,144.0,2.0,Female,3.0,1.0,Laboratory Technician,4.0,Single,2871.0,1.0,No,15.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
51.0,No,Travel_Frequently,Research & Development,1.0,4.0,Medical,145.0,1.0,Female,2.0,3.0,Healthcare Representative,1.0,Single,7484.0,3.0,No,20.0,4.0,3.0,0.0,23.0,2.0,13.0,12.0,12.0,8.0
34.0,Yes,Travel_Frequently,Research & Development,7.0,3.0,Life Sciences,147.0,1.0,Male,1.0,2.0,Laboratory Technician,3.0,Single,6074.0,1.0,Yes,24.0,4.0,4.0,0.0,9.0,3.0,9.0,7.0,0.0,6.0
54.0,No,Non-Travel,Human Resources,26.0,3.0,Human Resources,148.0,4.0,Female,,4.0,Manager,4.0,Single,17328.0,2.0,Yes,12.0,3.0,3.0,0.0,23.0,3.0,5.0,3.0,4.0,4.0
24.0,No,Travel_Rarely,Research & Development,18.0,1.0,Life Sciences,150.0,2.0,Male,3.0,1.0,Laboratory Technician,3.0,Married,2774.0,0.0,No,12.0,3.0,3.0,1.0,6.0,3.0,5.0,3.0,1.0,2.0
